ARFIP2
MAP2K5
PAK6
EML3
ITGB5
HEATR1
NFATC4
MRPL19
RPIA
LOXL1
HDGFRP3
PARP2
CRYZ
FGFR2
LAGE3
LIPA
PRSS23
MBOAT7
REEP5
EXT1
MEST
TIMM17B
YTHDF1
PHKG2
RNH1
ST6GALNAC2
NIT1
STXBP2
TFAP2A
GHR
EIF4EBP1
PYCR1
ELAVL1
POLD4
ETS1
CD320
IFRD2
CD40
MLEC
AKAP8
GAA
SKIC2
DUSP6
BCL2
NENF
FCHO1
UTP14A
APP
ELAC2
CLTB
RPA2
ARID5B
ABHD4
KIAA0753
PRR15L
FRS2
SPTLC2
BIRC2
STK10
EBNA1BP2
FIS1
IGF1R
DRAP1
GNA11
VPS72
NUCB2
ELOVL6
DNTTIP2
CIAPIN1
EPHB2
CHMP4A
EIF5
FOS
LYPLA1
IFNAR1
TES
SLC25A46
CCDC92
MMP1
CLSTN1
FOXO3
SNX6
UGDH
PHKA1
CTNNAL1
BAD
KAT6A
GET1
HDAC2
FGFR4
ZNF131
EBP
GSTM2
FAS
PUF60
RNF167
RTN2
CDK6
P4HA2
AKAP8L
CDC20
NR1H2
CDKN1A
FZD1
HAT1
MPZL1
SESN1
NCK2
MYBL2
RGS2
ALDH7A1
LPGAT1
CDKN2A
SLC35A3
CDK5R1
ARNT2
PRAF2
VGLL4
FBXO7
HOXA10
SRC
MOK
FKBP14
POLR2K
P4HTM
PPP1R13B
HERC6
BUB1B
HDAC6
TERF2IP
BNIP3
RELB
RRAGA
TJP1
PIH1D1
SLC25A4
NPEPL1
ADGRG1
MAPK1IP1L
MCM3
WASF3
EDN1
TRAPPC6A
ANO10
GFUS
APOE
PLA2G15
MAP4K4
GNB5
DMAC2L
ZNF395
PLEKHM1
GALE
STX4
ZDHHC6
COL4A1
MRPS16
TICAM1
CTNND1
PPARD
TPD52L2
PSMF1
HMGCR
GNA15
ECH1
GATA2
HEBP1
COQ8A
ST7
CCL2
PTGS2
GPER1
SATB1
DYRK3
STAT1
RPA1
NUP93
ZNF274
PPP2R5A
BPHL
ABCF3
CHEK2
TOR1A
HACD3
LSM5
RFNG
ZNF451
INPP1
RPS5
PECR
CBR1
CCNE2
AGL
MRPL12
TSEN2
PARP1
RRP1B
HMGCS1
TSC22D3
NRAS
RPN1
TSPAN3
PEX11A
BTK
PIN1
TNIP1
TRIB1
GLI2
IARS2
ADAM10
HIF1A
TCEAL4
GMNN
SKIC8
MLLT11
MTF2
PROS1
KIF14
PCM1
NISCH
RALB
STX1A
NOL3
RRP8
AXIN1
ABCF1
MAP7
TSKU
PTPRK
PTK2
MUC1
DIPK1A
RAB4A
PAF1
PCMT1
CDK7
KAT6B
ANXA7
COG2
PPARG
ASCC3
H2BC21
PIK3R3
MAPKAPK5
UBE3B
DNMT1
ARHGEF2
BAMBI
ARPP19
CASP10
PCBD1
SQOR
USP7
COG4
PTPN6
CHERP
BLTP2
FYN
CNDP2
IL1B
PAK1
THAP11
GLOD4
BACE2
CDKN1B
PDS5A
ARL4C
TIMP2
TXLNA
ZW10
ADRB2
ID2
MTFR1
TSPAN6
ALDOA
NFKBIE
TCTA
KDM3A
MBNL2
GFPT1
PTK2B
TNFRSF21
PSMD4
PIGB
ISOC1
DUSP22
PSMD9
SNX11
CCNA2
RPP38
PLCB3
SKP1
APBB2
ATP2C1
CARMIL1
RRS1
ITFG1
RNMT
IGFBP3
ERBB2
MELK
CCDC85B
ABHD6
KIFBP
CDK19
PLP2
SUPV3L1
DDB2
PAICS
ATF5
UBE2A
ASAH1
HES1
ATP11B
BRCA1
MVP
SYNGR3
STK25
NOSIP
PYGL
PXN
NGRN
PPIE
UBE2C
ST3GAL5
SORBS3
PPP2R5E
NUP85
CSNK1A1
LSR
ELP1
SMC4
CRELD2
STMN1
NET1
EPB41L2
SPR
PSRC1
ITGB1BP1
CNOT4
WASHC4
GPC1
ATF1
BECN1
PTPRF
CRK
INTS3
KHDC4
HSD17B11
PMAIP1
EPN2
TOP2A
USP22
IKZF1
ICMT
CLTC
ZNF586
JMJD6
DENND2D
CFLAR
MAT2A
ABCC5
SLC27A3
GOLT1B
RB1
ZFP36
CCP110
POLE2
TBXA2R
ERO1A
CCND3
GRB10
PLK1
SFN
CORO1A
NFKB2
SPP1
CSNK1E
SCP2
TIAM1
SMAD3
STAT5B
NPC1
CIRBP
EGFR
RBM34
TERT
DNAJB2
DNM1L
IDE
ERBB3
VDAC1
SMC3
LRP10
MACF1
TM9SF2
PLEKHJ1
FEZ2
SLC25A14
SMARCD2
TFDP1
CALU
FBXL12
AKR7A2
EVL
MINDY1
DLD
COPB2
PRCP
NOLC1
AMDHD2
SPAG7
RFX5
FOSL1
BAX
DUSP3
KIF20A
ALAS1
PSMD2
TLE1
CBR3
YME1L1
G3BP1
BID
DNAJA3
TRAM2
ADGRE5
ME2
PLS1
PTPRC
SOCS2
CGRRF1
MYCBP2
DDX10
JUN
LGALS8
MYC
MAN2B1
RPS6KA1
BDH1
MPC2
RSU1
ATF6
RAI14
POLB
PGM1
PIK3C2B
TBX2
SLC5A6
ACOT9
CAB39
PTPN1
CLIC4
GTPBP8
UBR7
RAC2
OXCT1
C2CD2L
CDH3
NOTCH1
CDC25B
POLG2
SLC35A1
LAMA3
XPO7
CSNK2A2
CETN3
CAMSAP2
MSRA
MYO10
TP53
CALM3
VAPB
INPP4B
CDK1
SCRN1
STXBP1
DUSP11
GDPD5
MYL9
MNAT1
MAPKAPK3
RBM6
VAV3
TRIB3
DFFA
MBNL1
RRP12
IL4R
STAT3
TSPAN4
XPNPEP1
CHIC2
DHRS7
FAIM
NT5DC2
CASP2
NUDCD3
MBTPS1
CNPY3
SOX4
ALDOC
PCK2
TCFL5
NFATC3
EED
DCK
ACBD3
GLRX
CEMIP2
FDFT1
ENOSF1
SPRED2
NR2F6
INSIG1
RHEB
UFM1
BLCAP
PAFAH1B1
OXA1L
DERA
NCOA3
SPEN
NPRL2
CD44
NFIL3
UBQLN2
KDM5B
SIRT3
PLA2G4A
TMEM97
CHP1
DDX42
FHL2
EZH2
ATP6V0B
FZD7
MTHFD2
ABL1
PDLIM1
PPOX
MAPK13
CSRP1
MIF
XBP1
TLR4
DNAJB6
JADE2
GNAI1
DFFB
FAT1
H2AZ2
ACD
SYNE2
RAE1
CEBPZ
PNP
SCYL3
ENOPH1
POLR2I
UBE2L6
IGHMBP2
GPATCH8
PCCB
STIMATE
MAPKAPK2
RNPS1
PNKP
TMEM50A
RPL39L
TIMM9
ICAM3
IGF2BP2
KLHDC2
HMGA2
SNX13
NPDC1
LYRM1
FAH
DNAJB1
PSME1
IGF2R
TRIM13
POLR1C
TXNDC9
WDR7
NOS3
CCNH
TUBB6
ACAT2
FPGS
GTF2A2
TIMM22
ECD
PAFAH1B3
RAB27A
ZNF318
USP14
SMC1A
TGFB3
SACM1L
NFKBIB
AARS1
PRKAG2
CCND1
SGCB
TLK2
SNCA
HS2ST1
TENT4A
SYK
RALA
HOXA5
COASY
KTN1
PWP1
CTSL
RAB21
MAPK9
WASHC5
CAT
KIF2C
RAP1GAP
SSBP2
MAST2
NSDHL
SNX7
RXYLT1
CAST
SMNDC1
PHKB
ZNF589
MKNK1
TP53BP2
CD58
LGMN
SMARCA4
TGFBR2
KLHL21
CREB1
AURKB
ITGAE
PIK3CA
NUP133
TRAPPC3
IL13RA1
PXMP2
DSG2
CYB561
ACAA1
SDHB
MSH6
CTTN
DECR1
B4GAT1
CDK2
BZW2
CTSD
HK1
BAG3
FBXO21
TPM1
DUSP14
CDC45
NR3C1
EDEM1
HSD17B10
CASC3
ADI1
CBLB
RFC5
CDC42
TOPBP1
PSME2
NCAPD2
CASP3
GTF2E2
TCERG1
CASK
CANT1
HMOX1
SLC35B1
RHOA
TBP
SMARCC1
SLC35F2
PLSCR3
S100A13
CCNB2
CEBPD
PDHX
GNAI2
DPH2
ATG3
BMP4
DAG1
GFOD1
CSK
CERK
TOMM70
CDK4
CRTAP
NRIP1
MCUR1
RBKS
SH3BP5
HLA-DRA
PHGDH
NFKBIA
FSD1
HPRT1
COPS7A
NCK1
KCNK1
TXNRD1
STAMBP
PRPF4
MAP3K4
HSPA8
NMT1
USP1
ARHGEF12
RALGDS
JPT2
MYLK
LYN
DMTF1
GAPDH
TBC1D9B
LRPAP1
PTPN12
BLMH
NUP88
KDELR2
BLVRA
NUSAP1
TXNL4B
DDR1
TMEM109
DCTD
RPA3
CXCL2
HOOK2
WFS1
TIPARP
RUVBL1
NNT
SCAND1
ARID4B
LIG1
CREG1
MMP2
PRKX
SNAP25
ANKRD10
TRAK2
GRB7
PFKL
TP53BP1
IER3
CYTH1
SCCPDH
CEP57
CCNB1
FOXO4
PLSCR1
TATDN2
DYNLT3
PAN2
ZMIZ1
SHC1
MTERF3
C2CD5
NVL
SHB
DHDDS
BIRC5
PIP4K2B
MTA1
TM9SF3
SLC37A4
PSMD10
GSTZ1
CEBPA
GADD45B
CHAC1
TOMM34
ARHGAP1
CXCR4
GATA3
